UID,NAME,NAME_KANA,ZIP,ADDRESS,PHONE,EMAIL,DATE_OF_BIRTH,GENDER
000001,小川 充,オガワ ミツル,524-4231,香川県青ヶ島村木立28丁目26番16号 渡辺シャルム201,070-6726-6217,yumiko91@example.com,1998-05-02,M
000002,田中 七夏,タナカ ナナミ,353-6342,新潟県江東区土呂部4丁目14番14号 氏家新田アーバン697,080-1826-4029,byamada@example.org,2006-11-01,F
000003,田中 香織,タナカ カオリ,086-7015,奈良県印旛郡印旛村脚折町16丁目7番18号 一ツ橋シャルム682,71-8930-9389,satonaoki@example.com,2022-04-13,M
000004,中島 加奈,ナカジマ カナ,979-7174,長崎県昭島市蟇沼13丁目19番9号 ハイツ無栗屋191,080-9022-7803,hsakamoto@example.com,1970-03-02,M
000005,斎藤 洋介,サイトウ ヨウスケ,717-8873,鳥取県台東区松が谷18丁目2番20号,080-0771-6374,atsushifujiwara@example.net,2020-07-16,F
000006,佐藤 亮介,サトウ リョウスケ,319-2192,三重県昭島市五味ヶ谷10丁目5番11号 パレス大京町854,070-5349-7785,yuihashimoto@example.net,1974-05-14,F
000007,山本 智也,ヤマモト トモヤ,248-4218,石川県中野区平河町23丁目27番20号,070-0832-5631,lnishimura@example.com,1972-04-13,M
000008,鈴木 篤司,スズキ アツシ,953-0313,長崎県品川区氏家新田38丁目2番4号 アーバン卯の里110,080-5270-8192,sotaro18@example.com,1988-03-25,M
000009,石川 陽一,イシカワ ヨウイチ,388-2137,福井県横浜市中区丸の内35丁目23番15号 シャルム平須賀596,090-8333-5050,fujiirei@example.org,1911-10-12,M
000010,阿部 明美,アベ アケミ,233-9028,長崎県青梅市白金台38丁目20番6号 アーバン無栗屋941,080-9274-6383,rokada@example.org,1922-06-23,M
000011,中川 真綾,ナカガワ マアヤ,926-1558,茨城県八王子市前弥六南町26丁目2番14号 パレス西浅草395,53-6310-0255,kimurayoko@example.net,1987-04-09,F
000012,小林 淳,コバヤシ ジュン,257-8730,三重県杉並区豊町27丁目13番14号 千塚ハイツ832,070-5525-3905,ugoto@example.net,2013-10-13,M
000013,吉田 あすか,ヨシダ アスカ,847-6665,徳島県長生郡一宮町三ノ輪31丁目3番20号 クレスト三ノ輪194,070-2385-2860,yosukemaeda@example.net,1963-03-15,F
000014,佐藤 淳,サトウ ジュン,115-8547,広島県横浜市瀬谷区平須賀35丁目14番4号,090-8684-1061,wmiura@example.net,2022-09-18,F
000015,高橋 舞,タカハシ マイ,075-3718,長野県横浜市戸塚区中小来川21丁目19番15号,090-1164-6525,fnakajima@example.com,1920-03-08,M
000016,鈴木 桃子,スズキ モモコ,907-8649,山口県練馬区細竹35丁目8番13号 パーク中川崎078,60-6765-7198,matsudarika@example.net,2005-11-13,F
000017,佐藤 亮介,サトウ リョウスケ,533-7263,宮崎県北区明石町2丁目19番12号,080-0474-6029,iaoki@example.com,2010-09-07,M
000018,鈴木 加奈,スズキ カナ,962-5736,新潟県千代田区長畑23丁目22番8号,24-3709-2291,tishikawa@example.org,1984-02-13,F
000019,近藤 桃子,コンドウ モモコ,278-2515,静岡県あきる野市藤金37丁目15番6号 シャルム細竹472,070-3705-6288,endoakira@example.net,1981-02-23,F
